id,pop
Canada,37742154
Maldives,540544
Lithuania,2722289
Cambodia,16718965
Ethiopia,114963588
Argentina,45195774
Bolivia,11673021
Cameroon,26545863
Burkina Faso,20903273
Ghana,31072940
Saudi Arabia,34813871
Japan,126476461
Slovenia,2078938
Guatemala,17915568
Bosnia and Herzegovina,3280819
Guinea,13132795
Jordan,10203134
Dominica,71986
Australia,25499884
Liberia,5057681
Congo (Kinshasa),89561403
Paraguay,7132538
Pakistan,220892340
Oman,5106626
Tanzania,59734218
North Macedonia,2083374
Cabo Verde,555987
Gabon,2225734
Monaco,39242
New Zealand,4822233
Jamaica,2961167
Albania,2877797
United Arab Emirates,9890402
India,1380004385
Azerbaijan,10139177
Madagascar,27691018
Congo (Brazzaville),5518087
Saint Vincent and the Grenadines,110940
Kenya,53771296
South Korea,51269185
Turkey,84339067
Afghanistan,38928346
Bangladesh,164689383
Eritrea,3546421
Saint Lucia,183627
San Marino,33931
Mongolia,3278290
France,65273511
Diamond Princess,3711
Rwanda,12952218
Slovakia,5459642
Somalia,15893222
Peru,32971854
Laos,7275560
Norway,5421241
Cote d'Ivoire,26378274
Benin,12123200
Cuba,11326616
Montenegro,628066
Togo,8278724
China,1439323776
Armenia,2963243
Antigua and Barbuda,97929
Dominican Republic,10847910
Ukraine,43733762
Bahrain,1701575
Finland,5540720
Libya,6871292
Indonesia,273523615
Central African Republic,4829767
Mauritius,1271768
Sweden,10099265
Vietnam,97338579
Russia,145934462
Bulgaria,6948445
Romania,19237691
Angola,32866272
Chad,16425864
South Africa,59308690
Fiji,896445
Liechtenstein,38128
Malaysia,32365999
Austria,9006398
Mozambique,31255435
Uganda,45741007
Hungary,9660351
Niger,24206644
Brazil,212559417
Kuwait,4270571
Panama,4314767
Costa Rica,5094118
Luxembourg,625978
Bahamas,393244
Ireland,4937786
Nigeria,206139589
Ecuador,17643054
Brunei,437479
Belarus,9449323
Iran,83992949
Bhutan,771608
Algeria,43851044
El Salvador,6486205
Czechia,10708981
Chile,19116201
Belgium,11589623
Thailand,69799978
Haiti,11402528
Belize,397628
Georgia,3989167
Gambia,2416668
Philippines,109581078
Moldova,4033963
Morocco,36910560
Croatia,4105267
Switzerland,8654622
Grenada,112523
Seychelles,98347
Portugal,10196709
Estonia,1326535
Uruguay,3473730
Equatorial Guinea,1402985
Lebanon,6825445
Uzbekistan,33469203
Egypt,102334404
Djibouti,988000
Timor-Leste,1318445
Spain,46754778
Colombia,50882891
Taiwan,23816775
Cyprus,1207359
Eswatini,1160164
Barbados,287375
Qatar,2881053
Italy,60461826
USA,331002651
Sudan,43849260
Nepal,29136808
Malta,441543
Netherlands,17134872
Suriname,586632
Venezuela,28435940
Holy See,801
Israel,8655535
Iceland,341243
Zambia,18383955
Senegal,16743927
Papua New Guinea,8947024
Zimbabwe,14862924
Germany,83783942
Denmark,5792202
Kazakhstan,18776707
Poland,37846611
Mauritania,4649658
Kyrgyzstan,6524195
Iraq,40222493
Andorra,77265
Trinidad and Tobago,1399488
Latvia,1886198
Guyana,786552
Syria,17500658
Honduras,9904607
Mexico,128932753
Tunisia,11818619
Nicaragua,6624554
Singapore,5850342
Serbia,8737371
United Kingdom,67886011
Greece,10423054
Sri Lanka,21413249
Namibia,2540905
Namibia,2540905
